#           k/h    P           
    0.34866E-04    0.22462E+03
    0.35041E-04    0.22570E+03
    0.35216E-04    0.22678E+03
    0.35393E-04    0.22787E+03
    0.35570E-04    0.22897E+03
    0.35748E-04    0.23007E+03
    0.35928E-04    0.23118E+03
    0.36108E-04    0.23229E+03
    0.36289E-04    0.23341E+03
    0.36471E-04    0.23453E+03
    0.36653E-04    0.23566E+03
    0.36837E-04    0.23679E+03
    0.37022E-04    0.23793E+03
    0.37207E-04    0.23908E+03
    0.37394E-04    0.24023E+03
    0.37581E-04    0.24138E+03
    0.37770E-04    0.24254E+03
    0.37959E-04    0.24371E+03
    0.38149E-04    0.24488E+03
    0.38341E-04    0.24606E+03
    0.38533E-04    0.24725E+03
    0.38726E-04    0.24844E+03
    0.38920E-04    0.24963E+03
    0.39115E-04    0.25083E+03
    0.39311E-04    0.25204E+03
    0.39508E-04    0.25325E+03
    0.39706E-04    0.25447E+03
    0.39905E-04    0.25569E+03
    0.40105E-04    0.25692E+03
    0.40306E-04    0.25816E+03
    0.40508E-04    0.25940E+03
    0.40711E-04    0.26065E+03
    0.40915E-04    0.26190E+03
    0.41121E-04    0.26316E+03
    0.41327E-04    0.26443E+03
    0.41534E-04    0.26570E+03
    0.41742E-04    0.26698E+03
    0.41951E-04    0.26826E+03
    0.42162E-04    0.26956E+03
    0.42373E-04    0.27085E+03
    0.42585E-04    0.27216E+03
    0.42799E-04    0.27346E+03
    0.43013E-04    0.27478E+03
    0.43229E-04    0.27610E+03
    0.43446E-04    0.27743E+03
    0.43663E-04    0.27877E+03
    0.43882E-04    0.28011E+03
    0.44102E-04    0.28145E+03
    0.44323E-04    0.28281E+03
    0.44545E-04    0.28417E+03
    0.44769E-04    0.28554E+03
    0.44993E-04    0.28691E+03
    0.45219E-04    0.28829E+03
    0.45445E-04    0.28968E+03
    0.45673E-04    0.29107E+03
    0.45902E-04    0.29247E+03
    0.46132E-04    0.29388E+03
    0.46363E-04    0.29529E+03
    0.46596E-04    0.29671E+03
    0.46829E-04    0.29814E+03
    0.47064E-04    0.29957E+03
    0.47300E-04    0.30101E+03
    0.47537E-04    0.30246E+03
    0.47775E-04    0.30392E+03
    0.48015E-04    0.30538E+03
    0.48255E-04    0.30685E+03
    0.48497E-04    0.30833E+03
    0.48740E-04    0.30981E+03
    0.48985E-04    0.31130E+03
    0.49230E-04    0.31280E+03
    0.49477E-04    0.31430E+03
    0.49725E-04    0.31581E+03
    0.49974E-04    0.31733E+03
    0.50225E-04    0.31886E+03
    0.50476E-04    0.32039E+03
    0.50730E-04    0.32193E+03
    0.50984E-04    0.32348E+03
    0.51239E-04    0.32504E+03
    0.51496E-04    0.32660E+03
    0.51754E-04    0.32817E+03
    0.52014E-04    0.32975E+03
    0.52274E-04    0.33134E+03
    0.52536E-04    0.33293E+03
    0.52800E-04    0.33454E+03
    0.53064E-04    0.33614E+03
    0.53330E-04    0.33776E+03
    0.53598E-04    0.33939E+03
    0.53866E-04    0.34102E+03
    0.54136E-04    0.34266E+03
    0.54408E-04    0.34431E+03
    0.54681E-04    0.34596E+03
    0.54955E-04    0.34763E+03
    0.55230E-04    0.34930E+03
    0.55507E-04    0.35098E+03
