#           k/h    P           
    0.40915E-04    0.39544E-01
    0.41121E-04    0.39734E-01
    0.41327E-04    0.39925E-01
    0.41534E-04    0.40117E-01
    0.41742E-04    0.40310E-01
    0.41951E-04    0.40504E-01
    0.42162E-04    0.40699E-01
    0.42373E-04    0.40895E-01
    0.42585E-04    0.41092E-01
    0.42799E-04    0.41289E-01
    0.43013E-04    0.41488E-01
    0.43229E-04    0.41688E-01
    0.43446E-04    0.41888E-01
    0.43663E-04    0.42090E-01
    0.43882E-04    0.42292E-01
    0.44102E-04    0.42496E-01
    0.44323E-04    0.42700E-01
    0.44545E-04    0.42906E-01
    0.44769E-04    0.43112E-01
    0.44993E-04    0.43319E-01
    0.45219E-04    0.43528E-01
    0.45445E-04    0.43737E-01
    0.45673E-04    0.43948E-01
    0.45902E-04    0.44159E-01
    0.46132E-04    0.44372E-01
    0.46363E-04    0.44585E-01
    0.46596E-04    0.44800E-01
    0.46829E-04    0.45015E-01
    0.47064E-04    0.45232E-01
    0.47300E-04    0.45449E-01
    0.47537E-04    0.45668E-01
    0.47775E-04    0.45888E-01
    0.48015E-04    0.46109E-01
    0.48255E-04    0.46330E-01
    0.48497E-04    0.46553E-01
    0.48740E-04    0.46777E-01
    0.48985E-04    0.47002E-01
    0.49230E-04    0.47229E-01
    0.49477E-04    0.47456E-01
    0.49725E-04    0.47684E-01
    0.49974E-04    0.47914E-01
    0.50225E-04    0.48144E-01
    0.50476E-04    0.48376E-01
    0.50730E-04    0.48609E-01
    0.50984E-04    0.48842E-01
    0.51239E-04    0.49077E-01
    0.51496E-04    0.49314E-01
    0.51754E-04    0.49551E-01
    0.52014E-04    0.49789E-01
    0.52274E-04    0.50029E-01
    0.52536E-04    0.50269E-01
    0.52800E-04    0.50511E-01
    0.53064E-04    0.50754E-01
    0.53330E-04    0.50999E-01
    0.53598E-04    0.51244E-01
    0.53866E-04    0.51490E-01
    0.54136E-04    0.51738E-01
    0.54408E-04    0.51987E-01
    0.54681E-04    0.52237E-01
    0.54955E-04    0.52489E-01
    0.55230E-04    0.52741E-01
    0.55507E-04    0.52995E-01
    0.55785E-04    0.53250E-01
    0.56065E-04    0.53506E-01
    0.56346E-04    0.53764E-01
    0.56628E-04    0.54022E-01
    0.56912E-04    0.54282E-01
    0.57197E-04    0.54543E-01
    0.57484E-04    0.54806E-01
